valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,type_local,total_surface_lots
580000.0,20.0,2.0,75018.0,Appartement,61.0
580000.0,25.0,2.0,75018.0,Appartement,61.0
605000.0,42.0,3.0,75003.0,Appartement,40.66
716250.0,69.0,3.0,75009.0,Appartement,66.26
320000.0,33.0,2.0,75010.0,Appartement,35.19
320000.0,29.0,1.0,75020.0,Appartement,32.52
220000.0,36.0,2.0,75020.0,Appartement,34.53
280000.0,28.0,2.0,75020.0,Appartement,24.59
200000.0,27.0,2.0,75019.0,Appartement,27.64
677500.0,58.0,3.0,75003.0,Appartement,57.12
445000.0,47.0,2.0,75019.0,Appartement,47.55
425890.0,52.0,2.0,75020.0,Appartement,52.17
660000.0,81.0,3.0,75018.0,Appartement,81.36
820000.0,70.0,3.0,75017.0,Appartement,74.38
293000.0,22.0,1.0,75002.0,Appartement,23.55
405970.0,40.0,3.0,75010.0,Appartement,38.53
505000.0,48.0,2.0,75003.0,Appartement,47.59
247500.0,19.0,1.0,75010.0,Appartement,20.04
616750.0,40.0,2.0,75020.0,Appartement,55.49
300000.0,38.0,1.0,75018.0,Appartement,32.36
504650.0,52.0,2.0,75010.0,Appartement,51.9
755000.0,59.0,4.0,75018.0,Appartement,60.79
335000.0,33.0,2.0,75017.0,Appartement,32.95
514500.0,54.0,3.0,75017.0,Appartement,47.36
725000.0,70.0,3.0,75009.0,Appartement,0.0
150000.0,14.0,1.0,75020.0,Appartement,15.73
963000.0,76.0,3.0,75017.0,Appartement,76.38
225000.0,31.0,2.0,75017.0,Appartement,18.0
315000.0,54.0,3.0,75017.0,Appartement,31.32
441800.0,45.0,2.0,75017.0,Appartement,47.49
296400.0,23.0,2.0,75003.0,Appartement,20.31
210000.0,26.0,1.0,75019.0,Appartement,24.23
214160.0,25.0,1.0,75009.0,Appartement,17.35
309000.0,41.0,2.0,75019.0,Appartement,41.05
485000.0,70.0,3.0,75010.0,Appartement,53.25
379300.0,29.0,1.0,75009.0,Appartement,28.2
1150000.0,88.0,4.0,75009.0,Appartement,88.06
350000.0,30.0,2.0,75010.0,Appartement,30.4
310000.0,66.0,3.0,75019.0,Appartement,63.5
448500.0,48.0,3.0,75019.0,Appartement,50.22
330000.0,30.0,1.0,75017.0,Appartement,28.4
360000.0,39.0,2.0,75020.0,Appartement,0.0
324500.0,69.0,3.0,75010.0,Appartement,52.7
414270.0,27.0,1.0,75003.0,Appartement,27.53
500000.0,115.0,6.0,75017.0,Appartement,49.8
765420.0,69.0,3.0,75010.0,Appartement,69.02
365000.0,28.0,1.0,75018.0,Appartement,28.67
722000.0,63.0,3.0,75008.0,Appartement,59.75
820000.0,81.0,4.0,75018.0,Appartement,82.21
643500.0,56.0,3.0,75017.0,Appartement,66.35
380000.0,32.0,0.0,75017.0,Local industriel. commercial ou assimilé,43.739999999999995
300600.0,28.0,2.0,75018.0,Appartement,27.88
192000.0,18.0,1.0,75018.0,Appartement,18.71
873200.0,76.0,3.0,75018.0,Appartement,76.03
559500.0,46.0,2.0,75017.0,Appartement,46.62
315000.0,28.0,2.0,75010.0,Appartement,0.0
580000.0,55.0,3.0,75010.0,Appartement,0.0
581934.0,54.0,3.0,75010.0,Appartement,54.03
385000.0,58.0,3.0,75020.0,Appartement,0.0
328000.0,34.0,1.0,75010.0,Appartement,30.55
190000.0,19.0,1.0,75010.0,Appartement,18.07
530000.0,66.0,3.0,75018.0,Appartement,66.44
302000.0,25.0,1.0,75002.0,Appartement,0.0
524000.0,63.0,3.0,75019.0,Appartement,62.56
180000.0,16.0,1.0,75018.0,Appartement,22.83
400000.0,27.0,1.0,75004.0,Appartement,0.0
543690.0,46.0,1.0,75009.0,Appartement,46.1
697000.0,65.0,3.0,75018.0,Appartement,0.0
965000.0,75.0,4.0,75009.0,Appartement,83.56
887550.0,71.0,3.0,75009.0,Appartement,74.04
501000.0,49.0,0.0,75004.0,Local industriel. commercial ou assimilé,56.8
590000.0,48.0,3.0,75018.0,Appartement,47.02
155526.0,29.0,1.0,75003.0,Appartement,28.81
405000.0,36.0,3.0,75017.0,Appartement,38.83
187575.0,22.0,1.0,75020.0,Appartement,24.04
355000.0,32.0,2.0,75018.0,Appartement,33.93
465000.0,30.0,2.0,75009.0,Appartement,37.45
350000.0,29.0,1.0,75017.0,Appartement,26.37
420000.0,33.0,4.0,75009.0,Appartement,31.7
344000.0,29.0,2.0,75010.0,Appartement,29.05
525400.0,45.0,3.0,75018.0,Appartement,0.0
310000.0,26.0,0.0,75004.0,Local industriel. commercial ou assimilé,26.6
129000.0,15.0,1.0,75019.0,Appartement,15.8
260000.0,21.0,2.0,75020.0,Appartement,24.7
1054200.0,77.0,3.0,75008.0,Appartement,76.76
180000.0,20.0,1.0,75020.0,Appartement,20.8
230000.0,29.0,2.0,75010.0,Appartement,56.019999999999996
881000.0,78.0,3.0,75017.0,Appartement,72.93
915000.0,67.0,3.0,75004.0,Appartement,69.44
272000.0,31.0,1.0,75020.0,Appartement,31.47
261550.0,24.0,1.0,75003.0,Appartement,22.78
140000.0,18.0,1.0,75018.0,Appartement,18.52
760000.0,67.0,2.0,75017.0,Appartement,68.77
317000.0,35.0,2.0,75020.0,Appartement,30.63
1050000.0,52.0,2.0,75008.0,Appartement,75.16
390000.0,33.0,1.0,75003.0,Appartement,29.75
306000.0,26.0,2.0,75018.0,Appartement,26.39
435000.0,18.0,1.0,75003.0,Appartement,28.9
888976.0,69.0,3.0,75018.0,Appartement,69.77
165000.0,21.0,1.0,75018.0,Appartement,19.5
128000.0,15.0,1.0,75020.0,Appartement,14.85
232000.0,16.0,1.0,75009.0,Appartement,16.7
463000.0,53.0,3.0,75019.0,Appartement,52.55
134000.0,14.0,1.0,75018.0,Appartement,13.32
390000.0,33.0,2.0,75018.0,Appartement,33.96
411221.0,40.0,2.0,75020.0,Appartement,0.0
467000.0,46.0,3.0,75020.0,Appartement,44.97
788901.3,80.0,4.0,75002.0,Appartement,77.78
907800.0,68.0,3.0,75017.0,Appartement,70.39
305000.0,34.0,2.0,75017.0,Appartement,35.0
200000.0,30.0,2.0,75018.0,Appartement,30.29
520000.0,54.0,2.0,75017.0,Appartement,53.05
322300.0,31.0,2.0,75018.0,Appartement,33.02
336600.0,40.0,2.0,75018.0,Appartement,33.09
331760.0,30.0,3.0,75020.0,Appartement,30.15
259000.0,25.0,2.0,75020.0,Appartement,26.75
340000.0,41.0,2.0,75020.0,Appartement,41.5
500000.0,56.0,0.0,75020.0,Local industriel. commercial ou assimilé,81.5
310000.0,33.0,2.0,75010.0,Appartement,30.08
497000.0,58.0,3.0,75020.0,Appartement,60.63
455000.0,42.0,3.0,75018.0,Appartement,45.53
500000.0,38.0,1.0,75004.0,Appartement,38.81
293000.0,34.0,2.0,75018.0,Appartement,35.94
260000.0,26.0,1.0,75019.0,Appartement,25.48
589200.0,52.0,3.0,75018.0,Appartement,52.54
320000.0,28.0,2.0,75009.0,Appartement,28.34
638000.0,80.0,2.0,75017.0,Appartement,79.95
560000.0,63.0,0.0,75017.0,Local industriel. commercial ou assimilé,60.13
526500.0,43.0,2.0,75018.0,Appartement,44.46
803000.0,53.0,3.0,75009.0,Appartement,65.44
803000.0,12.0,0.0,75009.0,Local industriel. commercial ou assimilé,65.44
179000.0,18.0,1.0,75003.0,Appartement,14.42
590200.0,46.0,3.0,75003.0,Appartement,0.0
383200.0,31.0,2.0,75018.0,Appartement,31.26
470000.0,44.0,3.0,75019.0,Appartement,0.0
333250.0,27.0,1.0,75019.0,Appartement,26.78
176000.0,17.0,1.0,75020.0,Appartement,16.61
510925.0,8.0,1.0,75008.0,Appartement,0.0
510925.0,32.0,2.0,75008.0,Appartement,35.2
630000.0,48.0,2.0,75009.0,Appartement,76.66
784000.0,75.0,3.0,75010.0,Appartement,156.64
186000.0,20.0,1.0,75009.0,Appartement,18.01
254000.0,30.0,1.0,75010.0,Appartement,31.03
250000.0,16.0,1.0,75009.0,Appartement,18.32
743000.0,64.0,3.0,75010.0,Appartement,65.37
420000.0,38.0,2.0,75018.0,Appartement,33.45
579200.0,51.0,3.0,75017.0,Appartement,51.83
640000.0,75.0,0.0,75019.0,Local industriel. commercial ou assimilé,56.28
552000.0,45.0,3.0,75018.0,Appartement,0.0
317770.0,30.0,2.0,75018.0,Appartement,0.0
295000.0,46.0,3.0,75018.0,Appartement,0.0
585000.0,45.0,2.0,75017.0,Appartement,46.86
922800.0,59.0,3.0,75017.0,Appartement,60.46
577550.0,51.0,3.0,75020.0,Appartement,52.62
310000.0,35.0,3.0,75020.0,Appartement,35.03
554000.0,64.0,3.0,75010.0,Appartement,63.33
554000.0,50.0,2.0,75010.0,Appartement,0.0
585000.0,49.0,2.0,75017.0,Appartement,49.19
275000.0,63.0,2.0,75020.0,Appartement,34.65
536800.0,55.0,3.0,75020.0,Appartement,53.03
115000.0,12.0,1.0,75020.0,Appartement,12.95
335000.0,27.0,2.0,75018.0,Appartement,32.37
304000.0,24.0,2.0,75009.0,Appartement,23.14
580000.0,44.0,3.0,75018.0,Appartement,50.17
110000.0,17.0,1.0,75009.0,Appartement,15.25
423030.0,43.0,3.0,75018.0,Appartement,35.11
703000.0,58.0,2.0,75020.0,Appartement,58.13
260000.0,24.0,1.0,75019.0,Appartement,0.0
260000.0,24.0,1.0,75019.0,Appartement,41.26
322000.0,40.0,3.0,75018.0,Appartement,39.27
237000.0,20.0,1.0,75017.0,Appartement,20.53
350000.0,29.0,0.0,75003.0,Local industriel. commercial ou assimilé,28.75
145900.0,14.0,1.0,75020.0,Appartement,14.03
951465.0,110.0,4.0,75019.0,Appartement,112.06
800000.0,71.0,3.0,75009.0,Appartement,74.55
133000.0,13.0,1.0,75017.0,Appartement,14.49
329920.0,20.0,2.0,75004.0,Appartement,21.51
330000.0,25.0,1.0,75019.0,Appartement,27.29
454900.0,62.0,3.0,75020.0,Appartement,54.37
278000.0,38.0,2.0,75020.0,Appartement,31.89
600000.0,58.0,3.0,75010.0,Appartement,62.72
540000.0,49.0,2.0,75018.0,Appartement,45.79
591550.0,33.0,1.0,75018.0,Appartement,0.0
591550.0,21.0,1.0,75018.0,Appartement,46.92
591550.0,26.0,1.0,75018.0,Appartement,46.92
365000.0,32.0,2.0,75003.0,Appartement,27.21
273000.0,33.0,2.0,75019.0,Appartement,29.48
1143200.0,45.0,0.0,75002.0,Local industriel. commercial ou assimilé,83.1
210000.0,20.0,1.0,75003.0,Appartement,18.16
360000.0,38.0,2.0,75010.0,Appartement,37.77
387210.0,33.0,1.0,75009.0,Appartement,34.72
860000.0,45.0,2.0,75004.0,Appartement,39.57
142500.0,15.0,1.0,75018.0,Appartement,0.0
295000.0,30.0,1.0,75020.0,Appartement,30.5
620000.0,89.0,5.0,75020.0,Appartement,85.92
234300.0,30.0,1.0,75020.0,Appartement,25.69
188010.0,19.0,2.0,75020.0,Appartement,20.01
390000.0,43.0,2.0,75018.0,Appartement,44.64
110000.0,12.0,1.0,75020.0,Appartement,9.1
810000.0,56.0,3.0,75009.0,Appartement,61.52
344500.0,28.0,2.0,75017.0,Appartement,31.21
312090.0,32.0,2.0,75019.0,Appartement,31.79
300000.0,28.0,1.0,75020.0,Appartement,26.91
290000.0,28.0,1.0,75020.0,Appartement,28.78
400000.0,34.0,1.0,75004.0,Appartement,33.45
778200.0,72.0,3.0,75010.0,Appartement,69.39
560125.0,86.0,4.0,75019.0,Appartement,86.03
138000.0,23.0,1.0,75018.0,Appartement,23.0
150000.0,13.0,1.0,75009.0,Appartement,14.65
860000.0,87.0,4.0,75020.0,Appartement,86.75
368600.0,30.0,1.0,75008.0,Appartement,30.6
480000.0,69.0,3.0,75020.0,Appartement,47.55
196550.0,19.0,2.0,75010.0,Appartement,19.01
360000.0,38.0,2.0,75020.0,Appartement,34.5
820700.0,78.0,4.0,75019.0,Appartement,78.23
1080000.0,80.0,3.0,75002.0,Appartement,94.15
430000.0,46.0,2.0,75018.0,Appartement,46.64
753000.0,60.0,3.0,75018.0,Appartement,63.78
515000.0,57.0,3.0,75019.0,Appartement,57.39
369262.0,39.0,2.0,75020.0,Appartement,35.12
313000.0,27.0,2.0,75017.0,Appartement,27.44
460500.0,36.0,1.0,75008.0,Appartement,41.31
298000.0,33.0,2.0,75019.0,Appartement,27.76
280000.0,36.0,2.0,75018.0,Appartement,36.01
290754.0,64.0,3.0,75018.0,Appartement,64.52
520000.0,44.0,3.0,75003.0,Appartement,48.14
455000.0,35.0,3.0,75017.0,Appartement,39.7
135700.0,16.0,1.0,75018.0,Appartement,15.4
1123600.0,110.0,4.0,75001.0,Appartement,0.0
428800.0,42.0,2.0,75017.0,Appartement,46.71
532400.0,35.0,2.0,75008.0,Appartement,29.34
380000.0,33.0,2.0,75018.0,Appartement,0.0
860000.0,82.0,4.0,75009.0,Appartement,166.34
817000.0,140.0,6.0,75004.0,Appartement,65.53
282000.0,27.0,1.0,75009.0,Appartement,28.68
500000.0,51.0,3.0,75019.0,Appartement,51.65
280000.0,55.0,3.0,75017.0,Appartement,9.4
273600.0,30.0,2.0,75020.0,Appartement,28.28
581000.0,63.0,3.0,75019.0,Appartement,61.81
599900.0,60.0,1.0,75020.0,Appartement,47.0
530000.0,40.0,2.0,75009.0,Appartement,47.91
153600.0,10.0,1.0,75010.0,Appartement,13.8
153600.0,9.0,1.0,75010.0,Appartement,0.0
215000.0,23.0,2.0,75009.0,Appartement,17.72
937000.0,55.0,3.0,75008.0,Appartement,51.2
975400.0,77.0,4.0,75009.0,Appartement,74.42
305000.0,41.0,2.0,75018.0,Appartement,39.83
655000.0,73.0,3.0,75020.0,Appartement,73.09
1000000.0,129.0,0.0,75003.0,Local industriel. commercial ou assimilé,129.54
321000.0,27.0,1.0,75017.0,Appartement,28.75
410000.0,30.0,2.0,75018.0,Appartement,35.8
326000.0,25.0,2.0,75017.0,Appartement,25.7
385000.0,33.0,2.0,75003.0,Appartement,33.27
307750.0,38.0,2.0,75018.0,Appartement,36.71
429000.0,40.0,1.0,75003.0,Appartement,36.83
409600.0,35.0,2.0,75009.0,Appartement,32.22
240000.0,40.0,2.0,75018.0,Appartement,25.91
574150.0,52.0,3.0,75010.0,Appartement,52.28
150000.0,12.0,1.0,75018.0,Appartement,16.15
361000.0,28.0,2.0,75010.0,Appartement,33.5
281400.0,24.0,1.0,75019.0,Appartement,24.6
193000.0,22.0,1.0,75017.0,Appartement,22.63
1030000.0,103.0,4.0,75018.0,Appartement,104.68
480000.0,53.0,3.0,75020.0,Appartement,53.8
210000.0,21.0,1.0,75018.0,Appartement,21.4
360500.0,37.0,2.0,75017.0,Appartement,27.92
403000.0,43.0,3.0,75017.0,Appartement,45.68
423050.0,35.0,1.0,75009.0,Appartement,36.45
462500.0,57.0,4.0,75020.0,Appartement,56.4
710000.0,57.0,3.0,75009.0,Appartement,0.0
975000.0,31.0,0.0,75002.0,Local industriel. commercial ou assimilé,38.8
274800.0,26.0,2.0,75017.0,Appartement,26.6
595500.0,36.0,2.0,75018.0,Appartement,49.19
400950.0,42.0,2.0,75009.0,Appartement,41.55
180000.0,19.0,1.0,75020.0,Appartement,19.17
843700.0,86.0,4.0,75017.0,Appartement,85.58
665000.0,59.0,3.0,75017.0,Appartement,56.7
626800.0,62.0,3.0,75019.0,Appartement,62.3
436600.0,24.0,1.0,75004.0,Appartement,32.87
404500.0,33.0,2.0,75004.0,Appartement,34.67
136000.0,10.0,1.0,75003.0,Appartement,8.15
763500.0,60.0,2.0,75017.0,Appartement,58.51
317000.0,29.0,2.0,75009.0,Appartement,28.44
505550.0,55.0,2.0,75010.0,Appartement,51.55
739550.0,56.0,3.0,75009.0,Appartement,55.05
340000.0,33.0,2.0,75010.0,Appartement,86.22
237000.0,25.0,2.0,75019.0,Appartement,24.36
460000.0,35.0,2.0,75009.0,Appartement,34.6
323000.0,24.0,1.0,75001.0,Appartement,27.17
163000.0,18.0,1.0,75017.0,Appartement,13.33
275000.0,28.0,1.0,75017.0,Appartement,25.8
305000.0,53.0,2.0,75020.0,Appartement,53.62
237410.0,23.0,1.0,75017.0,Appartement,22.19
185700.0,21.0,1.0,75009.0,Appartement,17.81
390000.0,35.0,2.0,75003.0,Appartement,28.61
421000.0,44.0,2.0,75018.0,Appartement,43.19
600000.0,45.0,2.0,75002.0,Appartement,42.74
298395.72,32.0,2.0,75019.0,Appartement,31.46
184915.0,27.0,2.0,75019.0,Appartement,15.89
102000.0,10.0,1.0,75020.0,Appartement,8.03
130000.0,9.0,1.0,75003.0,Appartement,8.57
315000.0,28.0,2.0,75017.0,Appartement,28.57
